| %    | Decomp?  | Name                                | # of insns | Asm Path 
| 0.94 | false    | dmy_SsSetNrpnVabAttr17              | 17         | asm/us/main/nonmatchings/psxsdk/libsnd/dmyprint/dmy_SsSetNrpnVabAttr17.s 
| 0.94 | false    | dmy_SsSetNrpnVabAttr18              | 17         | asm/us/main/nonmatchings/psxsdk/libsnd/dmyprint/dmy_SsSetNrpnVabAttr18.s 
| 0.94 | false    | dmy_SsSetNrpnVabAttr19              | 17         | asm/us/main/nonmatchings/psxsdk/libsnd/dmyprint/dmy_SsSetNrpnVabAttr19.s 
| 0.94 | false    | dmy_SsSetNrpnVabAttr2               | 17         | asm/us/main/nonmatchings/psxsdk/libsnd/dmyprint/dmy_SsSetNrpnVabAttr2.s 
| 0.94 | false    | dmy_SsSetNrpnVabAttr3               | 17         | asm/us/main/nonmatchings/psxsdk/libsnd/dmyprint/dmy_SsSetNrpnVabAttr3.s 
| 0.94 | false    | dmy_SsSetNrpnVabAttr4               | 17         | asm/us/main/nonmatchings/psxsdk/libsnd/dmyprint/dmy_SsSetNrpnVabAttr4.s 
| 0.94 | false    | dmy_SsSetNrpnVabAttr5               | 17         | asm/us/main/nonmatchings/psxsdk/libsnd/dmyprint/dmy_SsSetNrpnVabAttr5.s 
| 0.94 | false    | dmy_SsSetNrpnVabAttr6               | 17         | asm/us/main/nonmatchings/psxsdk/libsnd/dmyprint/dmy_SsSetNrpnVabAttr6.s 
| 0.94 | false    | dmy_SsSetNrpnVabAttr7               | 17         | asm/us/main/nonmatchings/psxsdk/libsnd/dmyprint/dmy_SsSetNrpnVabAttr7.s 
| 0.94 | false    | dmy_SsSetNrpnVabAttr8               | 17         | asm/us/main/nonmatchings/psxsdk/libsnd/dmyprint/dmy_SsSetNrpnVabAttr8.s 
| 0.94 | false    | dmy_SsSetNrpnVabAttr9               | 17         | asm/us/main/nonmatchings/psxsdk/libsnd/dmyprint/dmy_SsSetNrpnVabAttr9.s 
| 1.00 | false    | dmy_SsSetPitchBend                  | 16         | asm/us/main/nonmatchings/psxsdk/libsnd/dmyprint/dmy_SsSetPitchBend.s 
| 1.00 | false    | dmy_SsSetProgramChange              | 16         | asm/us/main/nonmatchings/psxsdk/libsnd/dmyprint/dmy_SsSetProgramChange.s 
-------------------------------------------------------------------------------
| 1.00 | true     | func_800672D8                       | 5          | asm/us/main/matchings/mains/main_47/func_800672D8.s 
| 1.00 | false    | SetLineF2                           | 5          | asm/us/main/nonmatchings/D9840/SetLineF2.s 
| 1.00 | false    | SetLineG2                           | 5          | asm/us/main/nonmatchings/D9840/SetLineG2.s 
| 1.00 | false    | SetPolyF3                           | 5          | asm/us/main/nonmatchings/D9840/SetPolyF3.s 
| 1.00 | false    | SetPolyF4                           | 5          | asm/us/main/nonmatchings/D9840/SetPolyF4.s 
| 1.00 | false    | SetPolyFT3                          | 5          | asm/us/main/nonmatchings/D9840/SetPolyFT3.s 
| 1.00 | false    | SetPolyFT4                          | 5          | asm/us/main/nonmatchings/D9840/SetPolyFT4.s 
